Category: All categories

Day,Bitcoin: (Worldwide)
2015-09-01,30
2015-09-02,30
2015-09-03,30
2015-09-04,26
2015-09-05,27
2015-09-06,29
2015-09-07,27
2015-09-08,29
2015-09-09,30
2015-09-10,28
2015-09-11,29
2015-09-12,29
2015-09-13,26
2015-09-14,29
2015-09-15,30
2015-09-16,29
2015-09-17,29
2015-09-18,33
2015-09-19,29
2015-09-20,26
2015-09-21,26
2015-09-22,32
2015-09-23,30
2015-09-24,27
2015-09-25,28
2015-09-26,26
2015-09-27,28
2015-09-28,29
2015-09-29,30
2015-09-30,31
2015-10-01,26
2015-10-02,26
2015-10-03,27
2015-10-04,26
2015-10-05,28
2015-10-06,30
2015-10-07,30
2015-10-08,29
2015-10-09,27
2015-10-10,27
2015-10-11,27
2015-10-12,29
2015-10-13,28
2015-10-14,30
2015-10-15,28
2015-10-16,31
2015-10-17,31
2015-10-18,31
2015-10-19,30
2015-10-20,33
2015-10-21,30
2015-10-22,35
2015-10-23,33
2015-10-24,29
2015-10-25,35
2015-10-26,34
2015-10-27,36
2015-10-28,37
2015-10-29,40
2015-10-30,41
2015-10-31,37
2015-11-01,42
2015-11-02,47
2015-11-03,65
2015-11-04,89
2015-11-05,74
2015-11-06,52
2015-11-07,46
2015-11-08,41
2015-11-09,43
2015-11-10,43
2015-11-11,46
2015-11-12,39
2015-11-13,39
2015-11-14,33
2015-11-15,35
2015-11-16,37
2015-11-17,35
2015-11-18,37
2015-11-19,39
2015-11-20,39
2015-11-21,33
2015-11-22,34
2015-11-23,36
2015-11-24,37
2015-11-25,35
2015-11-26,37
2015-11-27,34
2015-11-28,30
2015-11-29,34
2015-11-30,37
2015-12-01,37
2015-12-02,35
2015-12-03,36
2015-12-04,32
2015-12-05,35
2015-12-06,37
2015-12-07,36
2015-12-08,46
2015-12-09,100
2015-12-10,62
2015-12-11,48
2015-12-12,44
2015-12-13,45
2015-12-14,43
2015-12-15,46
2015-12-16,42
2015-12-17,42
2015-12-18,40
2015-12-19,36
2015-12-20,37
2015-12-21,40
2015-12-22,37
2015-12-23,40
2015-12-24,39
2015-12-25,37
2015-12-26,40
2015-12-27,39
2015-12-28,40
2015-12-29,41
2015-12-30,40
2015-12-31,33
2016-01-01,33
2016-01-02,34
2016-01-03,39
2016-01-04,39
2016-01-05,36
2016-01-06,36
2016-01-07,45
2016-01-08,43
2016-01-09,38
2016-01-10,38
2016-01-11,38
2016-01-12,37
2016-01-13,39
2016-01-14,36
2016-01-15,53
2016-01-16,54
2016-01-17,46
2016-01-18,41
2016-01-19,43
2016-01-20,46
2016-01-21,45
2016-01-22,42
2016-01-23,37
2016-01-24,35
2016-01-25,35
2016-01-26,36
2016-01-27,35
2016-01-28,35
2016-01-29,36
2016-01-30,32
2016-01-31,34
2016-02-01,33
2016-02-02,35
2016-02-03,36
2016-02-04,37
2016-02-05,33
2016-02-06,32
2016-02-07,35
2016-02-08,33
2016-02-09,35
2016-02-10,37
2016-02-11,36
2016-02-12,36
2016-02-13,33
2016-02-14,34
2016-02-15,40
2016-02-16,39
2016-02-17,41
2016-02-18,43
2016-02-19,35
2016-02-20,39
2016-02-21,39
2016-02-22,37
2016-02-23,36
2016-02-24,37
2016-02-25,39
2016-02-26,35
2016-02-27,32
2016-02-28,31
2016-02-29,35
2016-03-01,39
2016-03-02,36
2016-03-03,37
2016-03-04,37
2016-03-05,38
2016-03-06,37
2016-03-07,38
2016-03-08,35
2016-03-09,34
2016-03-10,34
2016-03-11,34
2016-03-12,33
2016-03-13,32
2016-03-14,37
2016-03-15,37
2016-03-16,32
2016-03-17,34
2016-03-18,34
2016-03-19,29
2016-03-20,31
2016-03-21,32
2016-03-22,36
2016-03-23,34
2016-03-24,34
2016-03-25,33
2016-03-26,30
2016-03-27,32
2016-03-28,36
2016-03-29,38
2016-03-30,34
2016-03-31,34
2016-04-01,33
2016-04-02,31
2016-04-03,31
2016-04-04,33
2016-04-05,33
2016-04-06,35
2016-04-07,35
2016-04-08,33
2016-04-09,31
2016-04-10,35
2016-04-11,37
2016-04-12,34
2016-04-13,31
2016-04-14,35
2016-04-15,32
2016-04-16,31
2016-04-17,30
2016-04-18,32
2016-04-19,34
2016-04-20,34
2016-04-21,35
2016-04-22,37
2016-04-23,35
2016-04-24,38
2016-04-25,39
2016-04-26,40
2016-04-27,37
2016-04-28,44
2016-04-29,40
2016-04-30,34
2016-05-01,33
