Category: All categories

Day,Bitcoin: (Worldwide)
2016-05-01,27
2016-05-02,100
2016-05-03,61
2016-05-04,40
2016-05-05,45
2016-05-06,41
2016-05-07,36
2016-05-08,33
2016-05-09,37
2016-05-10,35
2016-05-11,34
2016-05-12,35
2016-05-13,33
2016-05-14,31
2016-05-15,30
2016-05-16,31
2016-05-17,33
2016-05-18,31
2016-05-19,32
2016-05-20,29
2016-05-21,28
2016-05-22,31
2016-05-23,33
2016-05-24,31
2016-05-25,30
2016-05-26,31
2016-05-27,36
2016-05-28,35
2016-05-29,43
2016-05-30,45
2016-05-31,45
2016-06-01,40
2016-06-02,36
2016-06-03,40
2016-06-04,43
2016-06-05,38
2016-06-06,45
2016-06-07,44
2016-06-08,37
2016-06-09,39
2016-06-10,39
2016-06-11,37
2016-06-12,57
2016-06-13,65
2016-06-14,55
2016-06-15,47
2016-06-16,61
2016-06-17,56
2016-06-18,53
2016-06-19,45
2016-06-20,49
2016-06-21,55
2016-06-22,49
2016-06-23,54
2016-06-24,76
2016-06-25,54
2016-06-26,46
2016-06-27,48
2016-06-28,45
2016-06-29,44
2016-06-30,42
2016-07-01,42
2016-07-02,40
2016-07-03,40
2016-07-04,40
2016-07-05,40
2016-07-06,40
2016-07-07,42
2016-07-08,42
2016-07-09,52
2016-07-10,44
2016-07-11,41
2016-07-12,38
2016-07-13,37
2016-07-14,36
2016-07-15,33
2016-07-16,31
2016-07-17,33
2016-07-18,33
2016-07-19,35
2016-07-20,32
2016-07-21,32
2016-07-22,30
2016-07-23,29
2016-07-24,31
2016-07-25,30
2016-07-26,33
2016-07-27,37
2016-07-28,33
2016-07-29,32
2016-07-30,31
2016-07-31,32
2016-08-01,35
2016-08-02,44
2016-08-03,74
2016-08-04,45
2016-08-05,40
2016-08-06,33
2016-08-07,37
2016-08-08,37
2016-08-09,36
2016-08-10,30
2016-08-11,29
2016-08-12,30
2016-08-13,28
2016-08-14,28
2016-08-15,33
2016-08-16,32
2016-08-17,30
2016-08-18,32
2016-08-19,29
2016-08-20,28
2016-08-21,27
2016-08-22,31
2016-08-23,32
2016-08-24,33
2016-08-25,33
2016-08-26,30
2016-08-27,30
2016-08-28,31
2016-08-29,30
2016-08-30,31
2016-08-31,32
2016-09-01,31
2016-09-02,29
2016-09-03,33
2016-09-04,34
2016-09-05,34
2016-09-06,31
2016-09-07,33
2016-09-08,38
2016-09-09,32
2016-09-10,35
2016-09-11,34
2016-09-12,33
2016-09-13,35
2016-09-14,32
2016-09-15,33
2016-09-16,33
2016-09-17,31
2016-09-18,31
2016-09-19,31
2016-09-20,33
2016-09-21,35
2016-09-22,30
2016-09-23,32
2016-09-24,31
2016-09-25,31
2016-09-26,32
2016-09-27,32
2016-09-28,32
2016-09-29,31
2016-09-30,32
2016-10-01,31
2016-10-02,30
2016-10-03,31
2016-10-04,33
2016-10-05,31
2016-10-06,31
2016-10-07,33
2016-10-08,31
2016-10-09,34
2016-10-10,33
2016-10-11,36
2016-10-12,38
2016-10-13,36
2016-10-14,32
2016-10-15,33
2016-10-16,30
2016-10-17,34
2016-10-18,33
2016-10-19,31
2016-10-20,31
2016-10-21,30
2016-10-22,33
2016-10-23,32
2016-10-24,35
2016-10-25,35
2016-10-26,35
2016-10-27,41
2016-10-28,45
2016-10-29,46
2016-10-30,43
2016-10-31,42
2016-11-01,44
2016-11-02,42
2016-11-03,43
2016-11-04,42
2016-11-05,43
2016-11-06,40
2016-11-07,39
2016-11-08,39
2016-11-09,57
2016-11-10,40
2016-11-11,40
2016-11-12,37
2016-11-13,37
2016-11-14,38
2016-11-15,38
2016-11-16,43
2016-11-17,46
2016-11-18,41
2016-11-19,43
2016-11-20,41
2016-11-21,41
2016-11-22,43
2016-11-23,42
2016-11-24,45
2016-11-25,40
2016-11-26,40
2016-11-27,40
2016-11-28,42
2016-11-29,44
2016-11-30,40
2016-12-01,45
2016-12-02,46
2016-12-03,42
2016-12-04,40
2016-12-05,45
2016-12-06,43
2016-12-07,43
2016-12-08,44
2016-12-09,39
2016-12-10,40
2016-12-11,38
2016-12-12,41
2016-12-13,42
2016-12-14,41
2016-12-15,41
2016-12-16,40
2016-12-17,41
2016-12-18,39
2016-12-19,43
2016-12-20,43
2016-12-21,52
2016-12-22,65
2016-12-23,70
2016-12-24,59
2016-12-25,56
2016-12-26,54
2016-12-27,61
2016-12-28,68
2016-12-29,67
2016-12-30,60
2016-12-31,52
2017-01-01,57
