Category: All categories

Day,bitcoin: (Worldwide)
2012-09-01,28
2012-09-02,27
2012-09-03,32
2012-09-04,28
2012-09-05,100
2012-09-06,77
2012-09-07,56
2012-09-08,41
2012-09-09,49
2012-09-10,36
2012-09-11,32
2012-09-12,38
2012-09-13,38
2012-09-14,34
2012-09-15,29
2012-09-16,43
2012-09-17,34
2012-09-18,40
2012-09-19,45
2012-09-20,32
2012-09-21,30
2012-09-22,26
2012-09-23,32
2012-09-24,35
2012-09-25,29
2012-09-26,42
2012-09-27,30
2012-09-28,31
2012-09-29,34
2012-09-30,41
2012-10-01,36
2012-10-02,34
2012-10-03,35
2012-10-04,25
2012-10-05,31
2012-10-06,27
2012-10-07,36
2012-10-08,31
2012-10-09,31
2012-10-10,33
2012-10-11,29
2012-10-12,38
2012-10-13,31
2012-10-14,32
2012-10-15,29
2012-10-16,30
2012-10-17,24
2012-10-18,27
2012-10-19,37
2012-10-20,34
2012-10-21,26
2012-10-22,22
2012-10-23,26
2012-10-24,24
2012-10-25,25
2012-10-26,23
2012-10-27,28
2012-10-28,25
2012-10-29,22
2012-10-30,25
2012-10-31,29
2012-11-01,28
2012-11-02,28
2012-11-03,20
2012-11-04,28
2012-11-05,28
2012-11-06,29
2012-11-07,27
2012-11-08,29
2012-11-09,29
2012-11-10,28
2012-11-11,36
2012-11-12,33
2012-11-13,27
2012-11-14,26
2012-11-15,29
2012-11-16,50
2012-11-17,46
2012-11-18,38
2012-11-19,34
2012-11-20,33
2012-11-21,28
2012-11-22,30
2012-11-23,25
2012-11-24,38
2012-11-25,30
2012-11-26,43
2012-11-27,38
2012-11-28,63
2012-11-29,48
2012-11-30,34
2012-12-01,32
2012-12-02,34
2012-12-03,30
2012-12-04,31
2012-12-05,39
2012-12-06,41
2012-12-07,45
2012-12-08,51
2012-12-09,62
2012-12-10,50
2012-12-11,57
2012-12-12,45
2012-12-13,44
2012-12-14,45
2012-12-15,38
2012-12-16,35
2012-12-17,33
2012-12-18,33
2012-12-19,35
2012-12-20,34
2012-12-21,27
2012-12-22,32
2012-12-23,31
2012-12-24,34
2012-12-25,31
2012-12-26,30
2012-12-27,35
2012-12-28,29
2012-12-29,29
2012-12-30,32
2012-12-31,29
2013-01-01,27
2013-01-02,32
2013-01-03,34
2013-01-04,43
2013-01-05,42
