Category: All categories

Day,bitcoin: (Worldwide)
2018-05-01,63
2018-05-02,62
2018-05-03,61
2018-05-04,61
2018-05-05,60
2018-05-06,59
2018-05-07,64
2018-05-08,66
2018-05-09,59
2018-05-10,60
2018-05-11,71
2018-05-12,59
2018-05-13,51
2018-05-14,61
2018-05-15,57
2018-05-16,56
2018-05-17,55
2018-05-18,55
2018-05-19,45
2018-05-20,46
2018-05-21,54
2018-05-22,56
2018-05-23,66
2018-05-24,63
2018-05-25,54
2018-05-26,47
2018-05-27,49
2018-05-28,55
2018-05-29,56
2018-05-30,54
2018-05-31,50
2018-06-01,48
2018-06-02,43
2018-06-03,49
2018-06-04,51
2018-06-05,49
2018-06-06,50
2018-06-07,47
2018-06-08,48
2018-06-09,41
2018-06-10,61
2018-06-11,79
2018-06-12,65
2018-06-13,70
2018-06-14,63
2018-06-15,55
2018-06-16,46
2018-06-17,44
2018-06-18,52
2018-06-19,50
2018-06-20,47
2018-06-21,47
2018-06-22,55
2018-06-23,52
2018-06-24,61
2018-06-25,52
2018-06-26,50
2018-06-27,49
2018-06-28,47
2018-06-29,62
2018-06-30,53
2018-07-01,43
2018-07-02,53
2018-07-03,51
2018-07-04,48
2018-07-05,49
2018-07-06,44
2018-07-07,38
2018-07-08,43
2018-07-09,44
2018-07-10,49
2018-07-11,44
2018-07-12,50
2018-07-13,46
2018-07-14,42
2018-07-15,38
2018-07-16,47
2018-07-17,60
2018-07-18,70
2018-07-19,62
2018-07-20,53
2018-07-21,47
2018-07-22,44
2018-07-23,56
2018-07-24,73
2018-07-25,69
2018-07-26,60
2018-07-27,59
2018-07-28,51
2018-07-29,47
2018-07-30,51
2018-07-31,53
2018-08-01,52
2018-08-02,49
2018-08-03,56
2018-08-04,49
2018-08-05,46
2018-08-06,50
2018-08-07,53
2018-08-08,65
2018-08-09,53
2018-08-10,53
2018-08-11,55
2018-08-12,47
2018-08-13,53
2018-08-14,64
2018-08-15,59
2018-08-16,54
2018-08-17,49
2018-08-18,43
2018-08-19,40
2018-08-20,47
2018-08-21,52
2018-08-22,56
2018-08-23,51
2018-08-24,48
2018-08-25,43
2018-08-26,42
2018-08-27,45
2018-08-28,55
2018-08-29,50
2018-08-30,49
2018-08-31,46
2018-09-01,41
2018-09-02,44
2018-09-03,47
2018-09-04,52
2018-09-05,60
2018-09-06,67
2018-09-07,53
2018-09-08,44
2018-09-09,46
2018-09-10,48
2018-09-11,48
2018-09-12,52
2018-09-13,52
2018-09-14,48
2018-09-15,40
2018-09-16,41
2018-09-17,46
2018-09-18,44
2018-09-19,47
2018-09-20,43
2018-09-21,49
2018-09-22,41
2018-09-23,39
2018-09-24,42
2018-09-25,43
2018-09-26,43
2018-09-27,46
2018-09-28,42
2018-09-29,36
2018-09-30,35
2018-10-01,40
2018-10-02,38
2018-10-03,38
2018-10-04,39
2018-10-05,39
2018-10-06,33
2018-10-07,32
2018-10-08,40
2018-10-09,39
2018-10-10,41
2018-10-11,54
2018-10-12,44
2018-10-13,37
2018-10-14,37
2018-10-15,50
2018-10-16,44
2018-10-17,42
2018-10-18,41
2018-10-19,36
2018-10-20,30
2018-10-21,37
2018-10-22,40
2018-10-23,40
2018-10-24,42
2018-10-25,39
2018-10-26,40
2018-10-27,34
2018-10-28,31
2018-10-29,40
2018-10-30,40
2018-10-31,42
2018-11-01,40
2018-11-02,35
2018-11-03,33
2018-11-04,38
2018-11-05,41
2018-11-06,41
2018-11-07,41
2018-11-08,38
2018-11-09,37
2018-11-10,31
2018-11-11,34
2018-11-12,38
2018-11-13,41
2018-11-14,64
2018-11-15,73
2018-11-16,55
2018-11-17,45
2018-11-18,41
2018-11-19,68
2018-11-20,100
2018-11-21,79
2018-11-22,59
2018-11-23,60
2018-11-24,55
2018-11-25,82
2018-11-26,84
2018-11-27,73
2018-11-28,71
2018-11-29,60
2018-11-30,61
2018-12-01,48
2018-12-02,45
2018-12-03,54
2018-12-04,52
2018-12-05,52
2018-12-06,61
2018-12-07,75
2018-12-08,54
2018-12-09,49
2018-12-10,57
2018-12-11,53
2018-12-12,52
2018-12-13,50
2018-12-14,58
2018-12-15,49
2018-12-16,48
2018-12-17,55
2018-12-18,58
2018-12-19,64
2018-12-20,64
2018-12-21,59
2018-12-22,47
2018-12-23,46
2018-12-24,52
2018-12-25,49
2018-12-26,49
2018-12-27,51
2018-12-28,51
2018-12-29,46
2018-12-30,37
2018-12-31,39
2019-01-01,41
