Category: All categories

Day,Bitcoin: (Worldwide)
2014-05-01,56
2014-05-02,44
2014-05-03,43
2014-05-04,44
2014-05-05,53
2014-05-06,49
2014-05-07,48
2014-05-08,51
2014-05-09,49
2014-05-10,45
2014-05-11,42
2014-05-12,46
2014-05-13,44
2014-05-14,45
2014-05-15,49
2014-05-16,46
2014-05-17,40
2014-05-18,44
2014-05-19,46
2014-05-20,50
2014-05-21,52
2014-05-22,51
2014-05-23,56
2014-05-24,41
2014-05-25,51
2014-05-26,56
2014-05-27,55
2014-05-28,54
2014-05-29,57
2014-05-30,56
2014-05-31,50
2014-06-01,49
2014-06-02,53
2014-06-03,61
2014-06-04,52
2014-06-05,53
2014-06-06,49
2014-06-07,40
2014-06-08,45
2014-06-09,41
2014-06-10,49
2014-06-11,53
2014-06-12,55
2014-06-13,66
2014-06-14,48
2014-06-15,52
2014-06-16,54
2014-06-17,51
2014-06-18,58
2014-06-19,49
2014-06-20,47
2014-06-21,41
2014-06-22,44
2014-06-23,42
2014-06-24,39
2014-06-25,41
2014-06-26,39
2014-06-27,53
2014-06-28,44
2014-06-29,39
2014-06-30,50
2014-07-01,50
2014-07-02,52
2014-07-03,44
2014-07-04,47
2014-07-05,36
2014-07-06,44
2014-07-07,50
2014-07-08,42
2014-07-09,41
2014-07-10,42
2014-07-11,47
2014-07-12,42
2014-07-13,38
2014-07-14,40
2014-07-15,42
2014-07-16,49
2014-07-17,49
2014-07-18,46
2014-07-19,47
2014-07-20,43
2014-07-21,43
2014-07-22,46
2014-07-23,44
2014-07-24,44
2014-07-25,41
2014-07-26,41
2014-07-27,37
2014-07-28,45
2014-07-29,42
2014-07-30,48
2014-07-31,43
2014-08-01,39
2014-08-02,39
2014-08-03,41
2014-08-04,41
2014-08-05,49
2014-08-06,50
2014-08-07,49
2014-08-08,47
2014-08-09,40
2014-08-10,41
2014-08-11,47
2014-08-12,43
2014-08-13,66
2014-08-14,57
2014-08-15,58
2014-08-16,54
2014-08-17,48
2014-08-18,57
2014-08-19,49
2014-08-20,50
2014-08-21,46
2014-08-22,47
2014-08-23,43
2014-08-24,46
2014-08-25,42
2014-08-26,46
2014-08-27,41
2014-08-28,42
2014-08-29,42
2014-08-30,38
2014-08-31,46
2014-09-01,51
2014-09-02,49
2014-09-03,46
2014-09-04,47
2014-09-05,47
2014-09-06,40
2014-09-07,40
2014-09-08,44
2014-09-09,52
2014-09-10,63
2014-09-11,65
2014-09-12,53
2014-09-13,42
2014-09-14,43
2014-09-15,42
2014-09-16,42
2014-09-17,44
2014-09-18,46
2014-09-19,56
2014-09-20,43
2014-09-21,45
2014-09-22,43
2014-09-23,54
2014-09-24,54
2014-09-25,47
2014-09-26,43
2014-09-27,43
2014-09-28,45
2014-09-29,49
2014-09-30,49
2014-10-01,46
2014-10-02,45
2014-10-03,45
2014-10-04,49
2014-10-05,57
2014-10-06,67
2014-10-07,57
2014-10-08,53
2014-10-09,50
2014-10-10,49
2014-10-11,45
2014-10-12,41
2014-10-13,43
2014-10-14,56
2014-10-15,50
2014-10-16,44
2014-10-17,43
2014-10-18,42
2014-10-19,39
2014-10-20,38
2014-10-21,41
2014-10-22,44
2014-10-23,42
2014-10-24,41
2014-10-25,39
2014-10-26,38
2014-10-27,40
2014-10-28,40
2014-10-29,43
2014-10-30,39
2014-10-31,37
2014-11-01,36
2014-11-02,38
2014-11-03,40
2014-11-04,42
2014-11-05,42
2014-11-06,48
2014-11-07,48
2014-11-08,42
2014-11-09,41
2014-11-10,48
2014-11-11,45
2014-11-12,54
2014-11-13,54
2014-11-14,48
2014-11-15,42
2014-11-16,43
2014-11-17,48
2014-11-18,49
2014-11-19,46
2014-11-20,43
2014-11-21,41
2014-11-22,39
2014-11-23,39
2014-11-24,44
2014-11-25,41
2014-11-26,38
2014-11-27,38
2014-11-28,40
2014-11-29,33
2014-11-30,37
2014-12-01,39
2014-12-02,43
2014-12-03,42
2014-12-04,42
2014-12-05,39
2014-12-06,38
2014-12-07,43
2014-12-08,42
2014-12-09,41
2014-12-10,42
2014-12-11,62
2014-12-12,55
2014-12-13,45
2014-12-14,45
2014-12-15,45
2014-12-16,50
2014-12-17,48
2014-12-18,49
2014-12-19,43
2014-12-20,42
2014-12-21,45
2014-12-22,42
2014-12-23,46
2014-12-24,40
2014-12-25,40
2014-12-26,44
2014-12-27,100
2014-12-28,42
2014-12-29,42
2014-12-30,41
2014-12-31,40
2015-01-01,38
