Category: All categories

Day,bitcoin: (Worldwide)
2017-01-01,15
2017-01-02,27
2017-01-03,25
2017-01-04,28
2017-01-05,34
2017-01-06,30
2017-01-07,24
2017-01-08,22
2017-01-09,21
2017-01-10,19
2017-01-11,23
2017-01-12,24
2017-01-13,20
2017-01-14,17
2017-01-15,16
2017-01-16,17
2017-01-17,17
2017-01-18,17
2017-01-19,16
2017-01-20,15
2017-01-21,15
2017-01-22,15
2017-01-23,14
2017-01-24,16
2017-01-25,14
2017-01-26,14
2017-01-27,14
2017-01-28,15
2017-01-29,13
2017-01-30,14
2017-01-31,15
2017-02-01,15
2017-02-02,18
2017-02-03,18
2017-02-04,16
2017-02-05,16
2017-02-06,15
2017-02-07,16
2017-02-08,18
2017-02-09,19
2017-02-10,15
2017-02-11,16
2017-02-12,14
2017-02-13,15
2017-02-14,14
2017-02-15,15
2017-02-16,15
2017-02-17,17
2017-02-18,16
2017-02-19,13
2017-02-20,15
2017-02-21,19
2017-02-22,18
2017-02-23,20
2017-02-24,23
2017-02-25,18
2017-02-26,16
2017-02-27,18
2017-02-28,18
2017-03-01,19
2017-03-02,21
2017-03-03,32
2017-03-04,25
2017-03-05,21
2017-03-06,22
2017-03-07,23
2017-03-08,25
2017-03-09,22
2017-03-10,30
2017-03-11,26
2017-03-12,20
2017-03-13,21
2017-03-14,20
2017-03-15,20
2017-03-16,20
2017-03-17,20
2017-03-18,23
2017-03-19,20
2017-03-20,20
2017-03-21,21
2017-03-22,22
2017-03-23,20
2017-03-24,21
2017-03-25,22
2017-03-26,18
2017-03-27,19
2017-03-28,18
2017-03-29,16
2017-03-30,16
2017-03-31,17
2017-04-01,16
2017-04-02,16
2017-04-03,16
2017-04-04,18
2017-04-05,17
2017-04-06,18
2017-04-07,17
2017-04-08,16
2017-04-09,17
2017-04-10,17
2017-04-11,19
2017-04-12,18
2017-04-13,19
2017-04-14,16
2017-04-15,17
2017-04-16,16
2017-04-17,17
2017-04-18,18
2017-04-19,18
2017-04-20,16
2017-04-21,17
2017-04-22,17
2017-04-23,16
2017-04-24,17
2017-04-25,19
2017-04-26,20
2017-04-27,20
2017-04-28,19
2017-04-29,17
2017-04-30,17
2017-05-01,23
2017-05-02,24
2017-05-03,26
2017-05-04,31
2017-05-05,31
2017-05-06,25
2017-05-07,26
2017-05-08,27
2017-05-09,36
2017-05-10,34
2017-05-11,36
2017-05-12,44
2017-05-13,43
2017-05-14,38
2017-05-15,51
2017-05-16,45
2017-05-17,39
2017-05-18,34
2017-05-19,41
2017-05-20,39
2017-05-21,38
2017-05-22,63
2017-05-23,70
2017-05-24,72
2017-05-25,100
2017-05-26,77
2017-05-27,64
2017-05-28,49
2017-05-29,48
2017-05-30,48
2017-05-31,47
2017-06-01,45
2017-06-02,41
2017-06-03,40
2017-06-04,37
2017-06-05,42
2017-06-06,57
2017-06-07,52
2017-06-08,44
2017-06-09,42
2017-06-10,39
2017-06-11,43
2017-06-12,56
2017-06-13,50
2017-06-14,48
2017-06-15,58
2017-06-16,46
2017-06-17,40
2017-06-18,35
2017-06-19,38
2017-06-20,40
2017-06-21,43
2017-06-22,40
2017-06-23,38
2017-06-24,39
2017-06-25,35
2017-06-26,43
2017-06-27,49
2017-06-28,48
2017-06-29,40
2017-06-30,36
2017-07-01,33
2017-07-02,35
2017-07-03,31
2017-07-04,35
2017-07-05,33
2017-07-06,36
2017-07-07,33
2017-07-08,33
2017-07-09,31
2017-07-10,37
2017-07-11,42
2017-07-12,39
2017-07-13,38
2017-07-14,35
2017-07-15,42
2017-07-16,46
2017-07-17,43
2017-07-18,44
2017-07-19,40
2017-07-20,46
2017-07-21,46
2017-07-22,37
2017-07-23,38
2017-07-24,40
2017-07-25,41
2017-07-26,40
2017-07-27,39
2017-07-28,42
2017-07-29,34
2017-07-30,36
2017-07-31,41
2017-08-01,76
2017-08-02,70
2017-08-03,47
2017-08-04,43
2017-08-05,56
2017-08-06,48
2017-08-07,55
2017-08-08,55
2017-08-09,49
2017-08-10,46
2017-08-11,52
2017-08-12,62
2017-08-13,72
2017-08-14,87
2017-08-15,83
2017-08-16,70
2017-08-17,68
2017-08-18,69
2017-08-19,63
2017-08-20,58
2017-08-21,59
2017-08-22,66
2017-08-23,58
2017-08-24,57
2017-08-25,59
2017-08-26,51
2017-08-27,48
2017-08-28,54
2017-08-29,58
2017-08-30,64
2017-08-31,71
2017-09-01,72
