Category: All categories

Day,Ethereum: (Worldwide)
2016-09-01,64
2016-09-02,65
2016-09-03,38
2016-09-04,53
2016-09-05,61
2016-09-06,54
2016-09-07,52
2016-09-08,68
2016-09-09,44
2016-09-10,39
2016-09-11,52
2016-09-12,63
2016-09-13,55
2016-09-14,38
2016-09-15,47
2016-09-16,54
2016-09-17,56
2016-09-18,82
2016-09-19,67
2016-09-20,100
2016-09-21,81
2016-09-22,79
2016-09-23,70
2016-09-24,56
2016-09-25,77
2016-09-26,58
2016-09-27,59
2016-09-28,66
2016-09-29,67
2016-09-30,46
2016-10-01,44
2016-10-02,52
2016-10-03,54
2016-10-04,68
2016-10-05,56
2016-10-06,69
2016-10-07,62
2016-10-08,66
2016-10-09,46
2016-10-10,64
2016-10-11,44
2016-10-12,52
2016-10-13,73
2016-10-14,72
2016-10-15,47
2016-10-16,59
2016-10-17,68
2016-10-18,67
2016-10-19,72
2016-10-20,50
2016-10-21,44
2016-10-22,40
2016-10-23,52
2016-10-24,54
2016-10-25,81
2016-10-26,57
2016-10-27,56
2016-10-28,65
2016-10-29,52
2016-10-30,52
2016-10-31,53
2016-11-01,55
2016-11-02,63
2016-11-03,53
2016-11-04,51
2016-11-05,50
2016-11-06,44
2016-11-07,67
2016-11-08,69
2016-11-09,54
2016-11-10,48
2016-11-11,49
2016-11-12,61
2016-11-13,57
2016-11-14,55
2016-11-15,53
2016-11-16,50
2016-11-17,56
2016-11-18,56
2016-11-19,48
2016-11-20,55
2016-11-21,60
2016-11-22,53
2016-11-23,52
2016-11-24,58
2016-11-25,44
2016-11-26,47
2016-11-27,49
2016-11-28,54
2016-11-29,57
2016-11-30,52
2016-12-01,44
2016-12-02,57
2016-12-03,50
2016-12-04,53
2016-12-05,63
2016-12-06,77
2016-12-07,64
2016-12-08,48
2016-12-09,51
2016-12-10,37
2016-12-11,51
2016-12-12,46
2016-12-13,53
2016-12-14,52
2016-12-15,50
2016-12-16,35
2016-12-17,35
2016-12-18,34
2016-12-19,49
2016-12-20,44
2016-12-21,56
2016-12-22,40
2016-12-23,50
2016-12-24,54
2016-12-25,41
2016-12-26,43
2016-12-27,53
2016-12-28,74
2016-12-29,67
2016-12-30,67
2016-12-31,58
2017-01-01,41
