Category: All categories

Day,Blockchain: (Worldwide)
2014-05-01,45
2014-05-02,35
2014-05-03,52
2014-05-04,49
2014-05-05,60
2014-05-06,48
2014-05-07,43
2014-05-08,47
2014-05-09,57
2014-05-10,38
2014-05-11,44
2014-05-12,67
2014-05-13,48
2014-05-14,63
2014-05-15,50
2014-05-16,43
2014-05-17,35
2014-05-18,58
2014-05-19,32
2014-05-20,70
2014-05-21,53
2014-05-22,54
2014-05-23,41
2014-05-24,53
2014-05-25,86
2014-05-26,34
2014-05-27,54
2014-05-28,31
2014-05-29,62
2014-05-30,54
2014-05-31,59
2014-06-01,72
2014-06-02,49
2014-06-03,45
2014-06-04,68
2014-06-05,64
2014-06-06,65
2014-06-07,60
2014-06-08,57
2014-06-09,58
2014-06-10,44
2014-06-11,54
2014-06-12,28
2014-06-13,52
2014-06-14,46
2014-06-15,44
2014-06-16,53
2014-06-17,55
2014-06-18,70
2014-06-19,37
2014-06-20,53
2014-06-21,35
2014-06-22,37
2014-06-23,40
2014-06-24,46
2014-06-25,54
2014-06-26,43
2014-06-27,45
2014-06-28,74
2014-06-29,51
2014-06-30,40
2014-07-01,44
2014-07-02,65
2014-07-03,54
2014-07-04,47
2014-07-05,52
2014-07-06,47
2014-07-07,48
2014-07-08,52
2014-07-09,63
2014-07-10,43
2014-07-11,69
2014-07-12,51
2014-07-13,62
2014-07-14,65
2014-07-15,60
2014-07-16,60
2014-07-17,33
2014-07-18,38
2014-07-19,50
2014-07-20,52
2014-07-21,60
2014-07-22,62
2014-07-23,71
2014-07-24,41
2014-07-25,41
2014-07-26,70
2014-07-27,42
2014-07-28,78
2014-07-29,63
2014-07-30,45
2014-07-31,64
2014-08-01,66
2014-08-02,46
2014-08-03,57
2014-08-04,44
2014-08-05,88
2014-08-06,63
2014-08-07,100
2014-08-08,47
2014-08-09,39
2014-08-10,55
2014-08-11,66
2014-08-12,65
2014-08-13,98
2014-08-14,69
2014-08-15,65
2014-08-16,36
2014-08-17,50
2014-08-18,54
2014-08-19,54
2014-08-20,62
2014-08-21,56
2014-08-22,50
2014-08-23,73
2014-08-24,45
2014-08-25,64
2014-08-26,39
2014-08-27,68
2014-08-28,32
2014-08-29,47
2014-08-30,57
2014-08-31,74
2014-09-01,61
2014-09-02,40
2014-09-03,51
2014-09-04,46
2014-09-05,40
2014-09-06,46
2014-09-07,45
2014-09-08,55
2014-09-09,65
2014-09-10,51
2014-09-11,63
2014-09-12,33
2014-09-13,59
2014-09-14,65
2014-09-15,87
2014-09-16,60
2014-09-17,86
2014-09-18,59
2014-09-19,70
2014-09-20,50
2014-09-21,58
2014-09-22,41
2014-09-23,71
2014-09-24,51
2014-09-25,57
2014-09-26,35
2014-09-27,34
2014-09-28,52
2014-09-29,49
2014-09-30,45
2014-10-01,66
2014-10-02,46
2014-10-03,93
2014-10-04,69
2014-10-05,61
2014-10-06,71
2014-10-07,91
2014-10-08,68
2014-10-09,49
2014-10-10,55
2014-10-11,72
2014-10-12,49
2014-10-13,56
2014-10-14,68
2014-10-15,67
2014-10-16,51
2014-10-17,50
2014-10-18,29
2014-10-19,64
2014-10-20,68
2014-10-21,52
2014-10-22,42
2014-10-23,60
2014-10-24,45
2014-10-25,58
2014-10-26,58
2014-10-27,31
2014-10-28,60
2014-10-29,93
2014-10-30,43
2014-10-31,49
2014-11-01,54
2014-11-02,78
2014-11-03,59
2014-11-04,66
2014-11-05,71
2014-11-06,59
2014-11-07,62
2014-11-08,46
2014-11-09,54
2014-11-10,56
2014-11-11,55
2014-11-12,51
2014-11-13,87
2014-11-14,77
2014-11-15,61
2014-11-16,63
2014-11-17,49
2014-11-18,63
2014-11-19,58
2014-11-20,57
2014-11-21,46
2014-11-22,47
2014-11-23,54
2014-11-24,48
2014-11-25,64
2014-11-26,58
2014-11-27,49
2014-11-28,50
2014-11-29,45
2014-11-30,54
2014-12-01,62
2014-12-02,50
2014-12-03,74
2014-12-04,64
2014-12-05,62
2014-12-06,48
2014-12-07,51
2014-12-08,71
2014-12-09,74
2014-12-10,69
2014-12-11,72
2014-12-12,82
2014-12-13,77
2014-12-14,58
2014-12-15,83
2014-12-16,64
2014-12-17,70
2014-12-18,69
2014-12-19,46
2014-12-20,63
2014-12-21,74
2014-12-22,80
2014-12-23,76
2014-12-24,47
2014-12-25,27
2014-12-26,67
2014-12-27,70
2014-12-28,70
2014-12-29,60
2014-12-30,42
2014-12-31,57
2015-01-01,56
