Category: All categories

Day,Blockchain: (Worldwide)
2016-05-01,38
2016-05-02,77
2016-05-03,75
2016-05-04,58
2016-05-05,59
2016-05-06,50
2016-05-07,35
2016-05-08,50
2016-05-09,63
2016-05-10,70
2016-05-11,63
2016-05-12,60
2016-05-13,59
2016-05-14,35
2016-05-15,39
2016-05-16,54
2016-05-17,68
2016-05-18,68
2016-05-19,65
2016-05-20,47
2016-05-21,33
2016-05-22,45
2016-05-23,59
2016-05-24,58
2016-05-25,55
2016-05-26,60
2016-05-27,54
2016-05-28,39
2016-05-29,26
2016-05-30,59
2016-05-31,59
2016-06-01,56
2016-06-02,65
2016-06-03,50
2016-06-04,34
2016-06-05,40
2016-06-06,64
2016-06-07,61
2016-06-08,55
2016-06-09,63
2016-06-10,59
2016-06-11,38
2016-06-12,36
2016-06-13,68
2016-06-14,72
2016-06-15,70
2016-06-16,70
2016-06-17,71
2016-06-18,55
2016-06-19,46
2016-06-20,71
2016-06-21,70
2016-06-22,66
2016-06-23,66
2016-06-24,56
2016-06-25,37
2016-06-26,36
2016-06-27,64
2016-06-28,62
2016-06-29,60
2016-06-30,57
2016-07-01,54
2016-07-02,36
2016-07-03,32
2016-07-04,57
2016-07-05,63
2016-07-06,59
2016-07-07,60
2016-07-08,47
2016-07-09,35
2016-07-10,38
2016-07-11,61
2016-07-12,57
2016-07-13,57
2016-07-14,53
2016-07-15,53
2016-07-16,33
2016-07-17,48
2016-07-18,56
2016-07-19,62
2016-07-20,59
2016-07-21,57
2016-07-22,49
2016-07-23,31
2016-07-24,30
2016-07-25,60
2016-07-26,58
2016-07-27,62
2016-07-28,52
2016-07-29,49
2016-07-30,37
2016-07-31,29
2016-08-01,44
2016-08-02,63
2016-08-03,57
2016-08-04,63
2016-08-05,48
2016-08-06,33
2016-08-07,40
2016-08-08,47
2016-08-09,51
2016-08-10,46
2016-08-11,51
2016-08-12,52
2016-08-13,32
2016-08-14,34
2016-08-15,45
2016-08-16,52
2016-08-17,56
2016-08-18,48
2016-08-19,48
2016-08-20,32
2016-08-21,33
2016-08-22,65
2016-08-23,62
2016-08-24,69
2016-08-25,70
2016-08-26,65
2016-08-27,43
2016-08-28,46
2016-08-29,56
2016-08-30,64
2016-08-31,56
2016-09-01,64
2016-09-02,61
2016-09-03,46
2016-09-04,47
2016-09-05,58
2016-09-06,62
2016-09-07,70
2016-09-08,66
2016-09-09,57
2016-09-10,46
2016-09-11,39
2016-09-12,70
2016-09-13,67
2016-09-14,63
2016-09-15,67
2016-09-16,61
2016-09-17,40
2016-09-18,46
2016-09-19,56
2016-09-20,87
2016-09-21,81
2016-09-22,64
2016-09-23,67
2016-09-24,35
2016-09-25,40
2016-09-26,68
2016-09-27,64
2016-09-28,66
2016-09-29,77
2016-09-30,56
2016-10-01,51
2016-10-02,42
2016-10-03,55
2016-10-04,68
2016-10-05,69
2016-10-06,68
2016-10-07,65
2016-10-08,48
2016-10-09,47
2016-10-10,67
2016-10-11,68
2016-10-12,100
2016-10-13,92
2016-10-14,72
2016-10-15,51
2016-10-16,48
2016-10-17,81
2016-10-18,78
2016-10-19,81
2016-10-20,75
2016-10-21,72
2016-10-22,58
2016-10-23,55
2016-10-24,83
2016-10-25,84
2016-10-26,94
2016-10-27,68
2016-10-28,68
2016-10-29,52
2016-10-30,54
2016-10-31,65
2016-11-01,65
2016-11-02,87
2016-11-03,71
2016-11-04,75
2016-11-05,55
2016-11-06,51
2016-11-07,77
2016-11-08,92
2016-11-09,66
2016-11-10,84
2016-11-11,69
2016-11-12,52
2016-11-13,51
2016-11-14,75
2016-11-15,91
2016-11-16,100
2016-11-17,94
2016-11-18,76
2016-11-19,54
2016-11-20,51
2016-11-21,98
2016-11-22,92
2016-11-23,96
2016-11-24,91
2016-11-25,73
2016-11-26,60
2016-11-27,55
2016-11-28,82
2016-11-29,81
2016-11-30,84
2016-12-01,77
2016-12-02,83
2016-12-03,57
2016-12-04,58
2016-12-05,87
2016-12-06,84
2016-12-07,85
2016-12-08,85
2016-12-09,81
2016-12-10,60
2016-12-11,56
2016-12-12,80
2016-12-13,74
2016-12-14,78
2016-12-15,79
2016-12-16,69
2016-12-17,51
2016-12-18,51
2016-12-19,69
2016-12-20,71
2016-12-21,74
2016-12-22,77
2016-12-23,66
2016-12-24,52
2016-12-25,44
2016-12-26,53
2016-12-27,58
2016-12-28,71
2016-12-29,65
2016-12-30,60
2016-12-31,51
2017-01-01,45
