Category: All categories

Day,ripple: (Worldwide)
2014-05-01,63
2014-05-02,70
2014-05-03,55
2014-05-04,56
2014-05-05,74
2014-05-06,84
2014-05-07,74
2014-05-08,77
2014-05-09,81
2014-05-10,72
2014-05-11,64
2014-05-12,67
2014-05-13,68
2014-05-14,74
2014-05-15,71
2014-05-16,55
2014-05-17,80
2014-05-18,77
2014-05-19,70
2014-05-20,66
2014-05-21,64
2014-05-22,69
2014-05-23,76
2014-05-24,58
2014-05-25,60
2014-05-26,60
2014-05-27,58
2014-05-28,63
2014-05-29,69
2014-05-30,63
2014-05-31,63
2014-06-01,52
2014-06-02,54
2014-06-03,69
2014-06-04,59
2014-06-05,77
2014-06-06,65
2014-06-07,68
2014-06-08,58
2014-06-09,67
2014-06-10,80
2014-06-11,59
2014-06-12,63
2014-06-13,59
2014-06-14,57
2014-06-15,62
2014-06-16,57
2014-06-17,55
2014-06-18,59
2014-06-19,67
2014-06-20,60
2014-06-21,60
2014-06-22,52
2014-06-23,78
2014-06-24,73
2014-06-25,70
2014-06-26,59
2014-06-27,67
2014-06-28,45
2014-06-29,55
2014-06-30,62
2014-07-01,56
2014-07-02,51
2014-07-03,51
2014-07-04,53
2014-07-05,100
2014-07-06,84
2014-07-07,80
2014-07-08,62
2014-07-09,67
2014-07-10,62
2014-07-11,74
2014-07-12,68
2014-07-13,72
2014-07-14,60
2014-07-15,67
2014-07-16,64
2014-07-17,60
2014-07-18,62
2014-07-19,68
2014-07-20,70
2014-07-21,63
2014-07-22,67
2014-07-23,46
2014-07-24,53
2014-07-25,68
2014-07-26,59
2014-07-27,58
2014-07-28,58
2014-07-29,49
2014-07-30,59
2014-07-31,68
2014-08-01,63
2014-08-02,56
2014-08-03,66
2014-08-04,63
2014-08-05,55
2014-08-06,75
2014-08-07,69
2014-08-08,71
2014-08-09,62
2014-08-10,58
2014-08-11,60
2014-08-12,55
2014-08-13,62
2014-08-14,67
2014-08-15,59
2014-08-16,51
2014-08-17,60
2014-08-18,66
2014-08-19,66
2014-08-20,65
2014-08-21,51
2014-08-22,66
2014-08-23,56
2014-08-24,54
2014-08-25,59
2014-08-26,68
2014-08-27,55
2014-08-28,55
2014-08-29,80
2014-08-30,59
2014-08-31,63
2014-09-01,64
2014-09-02,57
2014-09-03,49
2014-09-04,60
2014-09-05,71
2014-09-06,58
2014-09-07,59
2014-09-08,62
2014-09-09,64
2014-09-10,53
2014-09-11,56
2014-09-12,46
2014-09-13,55
2014-09-14,51
2014-09-15,61
2014-09-16,59
2014-09-17,68
2014-09-18,60
2014-09-19,60
2014-09-20,50
2014-09-21,60
2014-09-22,57
2014-09-23,62
2014-09-24,49
2014-09-25,70
2014-09-26,66
2014-09-27,54
2014-09-28,56
2014-09-29,65
2014-09-30,65
2014-10-01,61
2014-10-02,68
2014-10-03,62
2014-10-04,59
2014-10-05,53
2014-10-06,56
2014-10-07,63
2014-10-08,68
2014-10-09,55
2014-10-10,66
2014-10-11,55
2014-10-12,66
2014-10-13,60
2014-10-14,71
2014-10-15,62
2014-10-16,71
2014-10-17,61
2014-10-18,63
2014-10-19,55
2014-10-20,86
2014-10-21,84
2014-10-22,75
2014-10-23,62
2014-10-24,58
2014-10-25,75
2014-10-26,63
2014-10-27,57
2014-10-28,66
2014-10-29,75
2014-10-30,78
2014-10-31,57
2014-11-01,64
2014-11-02,60
2014-11-03,59
2014-11-04,55
2014-11-05,59
2014-11-06,65
2014-11-07,67
2014-11-08,62
2014-11-09,62
2014-11-10,64
2014-11-11,75
2014-11-12,64
2014-11-13,70
2014-11-14,68
2014-11-15,74
2014-11-16,69
2014-11-17,67
2014-11-18,67
2014-11-19,76
2014-11-20,81
2014-11-21,71
2014-11-22,74
2014-11-23,63
2014-11-24,77
2014-11-25,81
2014-11-26,71
2014-11-27,80
2014-11-28,78
2014-11-29,68
2014-11-30,60
2014-12-01,63
2014-12-02,73
2014-12-03,75
2014-12-04,64
2014-12-05,74
2014-12-06,65
2014-12-07,68
2014-12-08,64
2014-12-09,69
2014-12-10,67
2014-12-11,69
2014-12-12,69
2014-12-13,64
2014-12-14,61
2014-12-15,65
2014-12-16,60
2014-12-17,80
2014-12-18,80
2014-12-19,70
2014-12-20,77
2014-12-21,73
2014-12-22,70
2014-12-23,79
2014-12-24,78
2014-12-25,35
2014-12-26,50
2014-12-27,60
2014-12-28,55
2014-12-29,57
2014-12-30,69
2014-12-31,69
2015-01-01,65
