Category: All categories

Day,ripple: (Worldwide)
2016-05-01,46
2016-05-02,72
2016-05-03,59
2016-05-04,60
2016-05-05,63
2016-05-06,65
2016-05-07,65
2016-05-08,60
2016-05-09,60
2016-05-10,64
2016-05-11,66
2016-05-12,65
2016-05-13,63
2016-05-14,53
2016-05-15,59
2016-05-16,66
2016-05-17,61
2016-05-18,60
2016-05-19,60
2016-05-20,70
2016-05-21,73
2016-05-22,69
2016-05-23,67
2016-05-24,67
2016-05-25,73
2016-05-26,63
2016-05-27,66
2016-05-28,55
2016-05-29,55
2016-05-30,62
2016-05-31,61
2016-06-01,60
2016-06-02,64
2016-06-03,57
2016-06-04,56
2016-06-05,60
2016-06-06,58
2016-06-07,65
2016-06-08,57
2016-06-09,66
2016-06-10,61
2016-06-11,63
2016-06-12,65
2016-06-13,64
2016-06-14,64
2016-06-15,64
2016-06-16,68
2016-06-17,60
2016-06-18,55
2016-06-19,51
2016-06-20,55
2016-06-21,63
2016-06-22,65
2016-06-23,59
2016-06-24,63
2016-06-25,64
2016-06-26,71
2016-06-27,67
2016-06-28,56
2016-06-29,59
2016-06-30,58
2016-07-01,58
2016-07-02,64
2016-07-03,64
2016-07-04,57
2016-07-05,65
2016-07-06,55
2016-07-07,62
2016-07-08,62
2016-07-09,67
2016-07-10,51
2016-07-11,64
2016-07-12,53
2016-07-13,61
2016-07-14,61
2016-07-15,54
2016-07-16,62
2016-07-17,63
2016-07-18,61
2016-07-19,60
2016-07-20,65
2016-07-21,59
2016-07-22,56
2016-07-23,58
2016-07-24,52
2016-07-25,59
2016-07-26,73
2016-07-27,58
2016-07-28,68
2016-07-29,60
2016-07-30,70
2016-07-31,60
2016-08-01,60
2016-08-02,63
2016-08-03,62
2016-08-04,61
2016-08-05,54
2016-08-06,64
2016-08-07,50
2016-08-08,66
2016-08-09,58
2016-08-10,60
2016-08-11,52
2016-08-12,62
2016-08-13,52
2016-08-14,60
2016-08-15,53
2016-08-16,59
2016-08-17,61
2016-08-18,71
2016-08-19,56
2016-08-20,46
2016-08-21,65
2016-08-22,60
2016-08-23,57
2016-08-24,64
2016-08-25,60
2016-08-26,66
2016-08-27,58
2016-08-28,53
2016-08-29,53
2016-08-30,65
2016-08-31,60
2016-09-01,59
2016-09-02,55
2016-09-03,64
2016-09-04,59
2016-09-05,61
2016-09-06,62
2016-09-07,59
2016-09-08,72
2016-09-09,65
2016-09-10,61
2016-09-11,58
2016-09-12,63
2016-09-13,67
2016-09-14,68
2016-09-15,100
2016-09-16,93
2016-09-17,66
2016-09-18,68
2016-09-19,75
2016-09-20,79
2016-09-21,63
2016-09-22,64
2016-09-23,62
2016-09-24,69
2016-09-25,57
2016-09-26,63
2016-09-27,70
2016-09-28,81
2016-09-29,71
2016-09-30,68
2016-10-01,53
2016-10-02,46
2016-10-03,77
2016-10-04,71
2016-10-05,64
2016-10-06,73
2016-10-07,55
2016-10-08,55
2016-10-09,55
2016-10-10,62
2016-10-11,57
2016-10-12,62
2016-10-13,64
2016-10-14,71
2016-10-15,57
2016-10-16,55
2016-10-17,66
2016-10-18,60
2016-10-19,69
2016-10-20,64
2016-10-21,72
2016-10-22,64
2016-10-23,56
2016-10-24,74
2016-10-25,79
2016-10-26,72
2016-10-27,55
2016-10-28,63
2016-10-29,51
2016-10-30,65
2016-10-31,56
2016-11-01,64
2016-11-02,62
2016-11-03,64
2016-11-04,74
2016-11-05,62
2016-11-06,46
2016-11-07,67
2016-11-08,75
2016-11-09,54
2016-11-10,64
2016-11-11,57
2016-11-12,71
2016-11-13,61
2016-11-14,66
2016-11-15,82
2016-11-16,72
2016-11-17,68
2016-11-18,73
2016-11-19,74
2016-11-20,60
2016-11-21,67
2016-11-22,63
2016-11-23,68
2016-11-24,61
2016-11-25,58
2016-11-26,67
2016-11-27,45
2016-11-28,71
2016-11-29,61
2016-11-30,69
2016-12-01,67
2016-12-02,72
2016-12-03,64
2016-12-04,61
2016-12-05,75
2016-12-06,71
2016-12-07,70
2016-12-08,67
2016-12-09,68
2016-12-10,61
2016-12-11,52
2016-12-12,59
2016-12-13,66
2016-12-14,61
2016-12-15,67
2016-12-16,60
2016-12-17,51
2016-12-18,62
2016-12-19,64
2016-12-20,70
2016-12-21,71
2016-12-22,66
2016-12-23,71
2016-12-24,83
2016-12-25,54
2016-12-26,60
2016-12-27,61
2016-12-28,60
2016-12-29,74
2016-12-30,71
2016-12-31,60
2017-01-01,58
