Category: All categories

Day,ripple: (Worldwide)
2015-09-01,70
2015-09-02,79
2015-09-03,78
2015-09-04,73
2015-09-05,66
2015-09-06,73
2015-09-07,85
2015-09-08,65
2015-09-09,72
2015-09-10,58
2015-09-11,69
2015-09-12,61
2015-09-13,66
2015-09-14,66
2015-09-15,78
2015-09-16,73
2015-09-17,79
2015-09-18,72
2015-09-19,60
2015-09-20,58
2015-09-21,71
2015-09-22,71
2015-09-23,79
2015-09-24,65
2015-09-25,75
2015-09-26,77
2015-09-27,68
2015-09-28,70
2015-09-29,79
2015-09-30,80
2015-10-01,55
2015-10-02,76
2015-10-03,72
2015-10-04,61
2015-10-05,72
2015-10-06,76
2015-10-07,70
2015-10-08,73
2015-10-09,62
2015-10-10,69
2015-10-11,63
2015-10-12,69
2015-10-13,74
2015-10-14,73
2015-10-15,75
2015-10-16,74
2015-10-17,77
2015-10-18,77
2015-10-19,83
2015-10-20,74
2015-10-21,76
2015-10-22,66
2015-10-23,77
2015-10-24,68
2015-10-25,66
2015-10-26,73
2015-10-27,78
2015-10-28,78
2015-10-29,69
2015-10-30,75
2015-10-31,52
2015-11-01,66
2015-11-02,78
2015-11-03,75
2015-11-04,66
2015-11-05,70
2015-11-06,70
2015-11-07,70
2015-11-08,56
2015-11-09,75
2015-11-10,68
2015-11-11,75
2015-11-12,79
2015-11-13,77
2015-11-14,65
2015-11-15,68
2015-11-16,62
2015-11-17,70
2015-11-18,83
2015-11-19,87
2015-11-20,72
2015-11-21,71
2015-11-22,67
2015-11-23,69
2015-11-24,68
2015-11-25,66
2015-11-26,65
2015-11-27,76
2015-11-28,62
2015-11-29,61
2015-11-30,79
2015-12-01,68
2015-12-02,75
2015-12-03,78
2015-12-04,78
2015-12-05,66
2015-12-06,73
2015-12-07,76
2015-12-08,77
2015-12-09,72
2015-12-10,88
2015-12-11,83
2015-12-12,82
2015-12-13,63
2015-12-14,82
2015-12-15,95
2015-12-16,81
2015-12-17,82
2015-12-18,81
2015-12-19,68
2015-12-20,72
2015-12-21,70
2015-12-22,87
2015-12-23,95
2015-12-24,92
2015-12-25,62
2015-12-26,68
2015-12-27,54
2015-12-28,62
2015-12-29,68
2015-12-30,69
2015-12-31,70
2016-01-01,62
2016-01-02,63
2016-01-03,74
2016-01-04,71
2016-01-05,71
2016-01-06,68
2016-01-07,66
2016-01-08,82
2016-01-09,63
2016-01-10,57
2016-01-11,59
2016-01-12,73
2016-01-13,66
2016-01-14,64
2016-01-15,77
2016-01-16,75
2016-01-17,64
2016-01-18,79
2016-01-19,75
2016-01-20,67
2016-01-21,67
2016-01-22,75
2016-01-23,73
2016-01-24,69
2016-01-25,75
2016-01-26,66
2016-01-27,73
2016-01-28,75
2016-01-29,80
2016-01-30,67
2016-01-31,75
2016-02-01,77
2016-02-02,75
2016-02-03,66
2016-02-04,76
2016-02-05,75
2016-02-06,66
2016-02-07,58
2016-02-08,71
2016-02-09,72
2016-02-10,68
2016-02-11,86
2016-02-12,100
2016-02-13,89
2016-02-14,73
2016-02-15,75
2016-02-16,81
2016-02-17,72
2016-02-18,61
2016-02-19,67
2016-02-20,73
2016-02-21,66
2016-02-22,73
2016-02-23,70
2016-02-24,84
2016-02-25,70
2016-02-26,80
2016-02-27,64
2016-02-28,75
2016-02-29,76
2016-03-01,87
2016-03-02,72
2016-03-03,71
2016-03-04,79
2016-03-05,85
2016-03-06,66
2016-03-07,64
2016-03-08,81
2016-03-09,71
2016-03-10,88
2016-03-11,68
2016-03-12,63
2016-03-13,66
2016-03-14,59
2016-03-15,72
2016-03-16,70
2016-03-17,71
2016-03-18,83
2016-03-19,58
2016-03-20,74
2016-03-21,79
2016-03-22,72
2016-03-23,66
2016-03-24,80
2016-03-25,73
2016-03-26,61
2016-03-27,67
2016-03-28,63
2016-03-29,68
2016-03-30,73
2016-03-31,75
2016-04-01,66
2016-04-02,67
2016-04-03,62
2016-04-04,72
2016-04-05,76
2016-04-06,84
2016-04-07,76
2016-04-08,68
2016-04-09,69
2016-04-10,72
2016-04-11,77
2016-04-12,75
2016-04-13,80
2016-04-14,67
2016-04-15,74
2016-04-16,69
2016-04-17,80
2016-04-18,77
2016-04-19,79
2016-04-20,80
2016-04-21,76
2016-04-22,64
2016-04-23,74
2016-04-24,72
2016-04-25,83
2016-04-26,80
2016-04-27,77
2016-04-28,77
2016-04-29,81
2016-04-30,71
2016-05-01,57
