Category: All categories

Day,ripple: (Worldwide)
2019-01-01,53
2019-01-02,61
2019-01-03,57
2019-01-04,53
2019-01-05,51
2019-01-06,57
2019-01-07,59
2019-01-08,59
2019-01-09,58
2019-01-10,61
2019-01-11,56
2019-01-12,52
2019-01-13,52
2019-01-14,48
2019-01-15,55
2019-01-16,50
2019-01-17,55
2019-01-18,45
2019-01-19,48
2019-01-20,53
2019-01-21,48
2019-01-22,52
2019-01-23,43
2019-01-24,51
2019-01-25,49
2019-01-26,43
2019-01-27,44
2019-01-28,51
2019-01-29,48
2019-01-30,60
2019-01-31,56
2019-02-01,51
2019-02-02,47
2019-02-03,47
2019-02-04,55
2019-02-05,50
2019-02-06,53
2019-02-07,49
2019-02-08,57
2019-02-09,55
2019-02-10,52
2019-02-11,49
2019-02-12,50
2019-02-13,52
2019-02-14,51
2019-02-15,59
2019-02-16,46
2019-02-17,43
2019-02-18,50
2019-02-19,59
2019-02-20,61
2019-02-21,51
2019-02-22,47
2019-02-23,48
2019-02-24,53
2019-02-25,55
2019-02-26,62
2019-02-27,56
2019-02-28,48
2019-03-01,50
2019-03-02,59
2019-03-03,54
2019-03-04,54
2019-03-05,54
2019-03-06,51
2019-03-07,49
2019-03-08,42
2019-03-09,48
2019-03-10,47
2019-03-11,51
2019-03-12,50
2019-03-13,52
2019-03-14,50
2019-03-15,41
2019-03-16,49
2019-03-17,48
2019-03-18,47
2019-03-19,46
2019-03-20,47
2019-03-21,42
2019-03-22,44
2019-03-23,43
2019-03-24,47
2019-03-25,42
2019-03-26,41
2019-03-27,45
2019-03-28,45
2019-03-29,50
2019-03-30,45
2019-03-31,48
2019-04-01,45
2019-04-02,76
2019-04-03,77
2019-04-04,60
2019-04-05,67
2019-04-06,52
2019-04-07,50
2019-04-08,51
2019-04-09,49
2019-04-10,54
2019-04-11,46
2019-04-12,54
2019-04-13,45
2019-04-14,48
2019-04-15,44
2019-04-16,51
2019-04-17,46
2019-04-18,53
2019-04-19,51
2019-04-20,53
2019-04-21,44
2019-04-22,48
2019-04-23,50
2019-04-24,53
2019-04-25,49
2019-04-26,43
2019-04-27,43
2019-04-28,48
2019-04-29,40
2019-04-30,51
2019-05-01,52
2019-05-02,46
2019-05-03,50
2019-05-04,48
2019-05-05,46
2019-05-06,43
2019-05-07,52
2019-05-08,54
2019-05-09,48
2019-05-10,46
2019-05-11,57
2019-05-12,60
2019-05-13,63
2019-05-14,98
2019-05-15,96
2019-05-16,87
2019-05-17,66
2019-05-18,56
2019-05-19,62
2019-05-20,61
2019-05-21,56
2019-05-22,53
2019-05-23,44
2019-05-24,58
2019-05-25,50
2019-05-26,51
2019-05-27,65
2019-05-28,72
2019-05-29,73
2019-05-30,68
2019-05-31,63
2019-06-01,62
2019-06-02,55
2019-06-03,62
2019-06-04,58
2019-06-05,52
2019-06-06,57
2019-06-07,53
2019-06-08,53
2019-06-09,54
2019-06-10,50
2019-06-11,54
2019-06-12,44
2019-06-13,47
2019-06-14,52
2019-06-15,60
2019-06-16,56
2019-06-17,72
2019-06-18,85
2019-06-19,64
2019-06-20,61
2019-06-21,72
2019-06-22,84
2019-06-23,83
2019-06-24,67
2019-06-25,77
2019-06-26,100
2019-06-27,77
2019-06-28,57
2019-06-29,55
2019-06-30,54
2019-07-01,49
2019-07-02,56
2019-07-03,53
2019-07-04,53
2019-07-05,53
2019-07-06,52
2019-07-07,57
2019-07-08,57
2019-07-09,57
2019-07-10,58
2019-07-11,57
2019-07-12,51
2019-07-13,49
2019-07-14,57
2019-07-15,53
2019-07-16,57
2019-07-17,52
2019-07-18,53
2019-07-19,46
2019-07-20,47
2019-07-21,53
2019-07-22,49
2019-07-23,51
2019-07-24,44
2019-07-25,51
2019-07-26,45
2019-07-27,44
2019-07-28,46
2019-07-29,46
2019-07-30,44
2019-07-31,43
2019-08-01,46
2019-08-02,48
2019-08-03,45
2019-08-04,50
2019-08-05,52
2019-08-06,46
2019-08-07,44
2019-08-08,43
2019-08-09,45
2019-08-10,45
2019-08-11,45
2019-08-12,48
2019-08-13,48
2019-08-14,51
2019-08-15,49
2019-08-16,39
2019-08-17,52
2019-08-18,69
2019-08-19,48
2019-08-20,42
2019-08-21,44
2019-08-22,46
2019-08-23,45
2019-08-24,44
2019-08-25,41
2019-08-26,45
2019-08-27,42
2019-08-28,48
2019-08-29,46
2019-08-30,45
2019-08-31,43
2019-09-01,44
