Category: All categories

Day,ripple: (Worldwide)
2015-01-01,79
2015-01-02,79
2015-01-03,78
2015-01-04,62
2015-01-05,61
2015-01-06,72
2015-01-07,78
2015-01-08,79
2015-01-09,86
2015-01-10,67
2015-01-11,82
2015-01-12,77
2015-01-13,78
2015-01-14,84
2015-01-15,79
2015-01-16,94
2015-01-17,71
2015-01-18,74
2015-01-19,71
2015-01-20,85
2015-01-21,89
2015-01-22,80
2015-01-23,82
2015-01-24,80
2015-01-25,81
2015-01-26,83
2015-01-27,80
2015-01-28,85
2015-01-29,66
2015-01-30,80
2015-01-31,62
2015-02-01,58
2015-02-02,79
2015-02-03,84
2015-02-04,84
2015-02-05,70
2015-02-06,81
2015-02-07,72
2015-02-08,83
2015-02-09,78
2015-02-10,76
2015-02-11,83
2015-02-12,80
2015-02-13,73
2015-02-14,83
2015-02-15,70
2015-02-16,68
2015-02-17,71
2015-02-18,65
2015-02-19,74
2015-02-20,74
2015-02-21,76
2015-02-22,76
2015-02-23,82
2015-02-24,84
2015-02-25,80
2015-02-26,72
2015-02-27,79
2015-02-28,80
2015-03-01,72
2015-03-02,75
2015-03-03,70
2015-03-04,94
2015-03-05,78
2015-03-06,92
2015-03-07,81
2015-03-08,71
2015-03-09,72
2015-03-10,84
2015-03-11,82
2015-03-12,76
2015-03-13,87
2015-03-14,73
2015-03-15,64
2015-03-16,72
2015-03-17,81
2015-03-18,83
2015-03-19,69
2015-03-20,63
2015-03-21,74
2015-03-22,74
2015-03-23,73
2015-03-24,72
2015-03-25,77
2015-03-26,86
2015-03-27,57
2015-03-28,63
2015-03-29,67
2015-03-30,63
2015-03-31,72
2015-04-01,85
2015-04-02,81
2015-04-03,77
2015-04-04,69
2015-04-05,63
2015-04-06,96
2015-04-07,76
2015-04-08,86
2015-04-09,84
2015-04-10,84
2015-04-11,85
2015-04-12,78
2015-04-13,80
2015-04-14,78
2015-04-15,85
2015-04-16,76
2015-04-17,73
2015-04-18,74
2015-04-19,66
2015-04-20,72
2015-04-21,75
2015-04-22,78
2015-04-23,82
2015-04-24,87
2015-04-25,78
2015-04-26,65
2015-04-27,78
2015-04-28,75
2015-04-29,79
2015-04-30,67
2015-05-01,70
2015-05-02,63
2015-05-03,71
2015-05-04,68
2015-05-05,78
2015-05-06,94
2015-05-07,68
2015-05-08,83
2015-05-09,72
2015-05-10,64
2015-05-11,83
2015-05-12,65
2015-05-13,74
2015-05-14,76
2015-05-15,74
2015-05-16,77
2015-05-17,70
2015-05-18,83
2015-05-19,72
2015-05-20,73
2015-05-21,70
2015-05-22,81
2015-05-23,67
2015-05-24,60
2015-05-25,81
2015-05-26,74
2015-05-27,79
2015-05-28,77
2015-05-29,71
2015-05-30,72
2015-05-31,72
2015-06-01,81
2015-06-02,72
2015-06-03,80
2015-06-04,90
2015-06-05,81
2015-06-06,55
2015-06-07,54
2015-06-08,71
2015-06-09,75
2015-06-10,82
2015-06-11,71
2015-06-12,87
2015-06-13,70
2015-06-14,68
2015-06-15,77
2015-06-16,82
2015-06-17,69
2015-06-18,77
2015-06-19,75
2015-06-20,71
2015-06-21,69
2015-06-22,68
2015-06-23,80
2015-06-24,71
2015-06-25,83
2015-06-26,87
2015-06-27,82
2015-06-28,89
2015-06-29,66
2015-06-30,93
2015-07-01,79
2015-07-02,76
2015-07-03,74
2015-07-04,99
2015-07-05,85
2015-07-06,77
2015-07-07,91
2015-07-08,86
2015-07-09,100
2015-07-10,93
2015-07-11,76
2015-07-12,69
2015-07-13,83
2015-07-14,86
2015-07-15,88
2015-07-16,87
2015-07-17,69
2015-07-18,74
2015-07-19,74
2015-07-20,76
2015-07-21,77
2015-07-22,88
2015-07-23,87
2015-07-24,75
2015-07-25,82
2015-07-26,74
2015-07-27,79
2015-07-28,71
2015-07-29,73
2015-07-30,70
2015-07-31,63
2015-08-01,83
2015-08-02,80
2015-08-03,79
2015-08-04,82
2015-08-05,67
2015-08-06,75
2015-08-07,81
2015-08-08,73
2015-08-09,76
2015-08-10,72
2015-08-11,85
2015-08-12,69
2015-08-13,70
2015-08-14,73
2015-08-15,68
2015-08-16,82
2015-08-17,70
2015-08-18,71
2015-08-19,70
2015-08-20,86
2015-08-21,69
2015-08-22,81
2015-08-23,76
2015-08-24,72
2015-08-25,82
2015-08-26,72
2015-08-27,71
2015-08-28,71
2015-08-29,68
2015-08-30,70
2015-08-31,77
2015-09-01,70
