Date,MarketCap
15-09-2019,566133842
16-09-2019,553502262
17-09-2019,570303195
18-09-2019,633437288
19-09-2019,656554430
20-09-2019,639712666
21-09-2019,661291923
22-09-2019,637490132
23-09-2019,632571593
24-09-2019,607533240
25-09-2019,616065986
26-09-2019,580641588
27-09-2019,584556447
28-09-2019,590578652
29-09-2019,601027004
30-09-2019,617227495
01-10-2019,643757763
02-10-2019,705830998
03-10-2019,682863179
04-10-2019,692586222
05-10-2019,688101396
06-10-2019,765835879
07-10-2019,840650623
08-10-2019,902338849
09-10-2019,981348417
10-10-2019,922420687
11-10-2019,970326221
12-10-2019,912493135
13-10-2019,874110354
14-10-2019,888883511
15-10-2019,838177179
16-10-2019,836937086
17-10-2019,848439470
18-10-2019,825498606
19-10-2019,825810063
20-10-2019,854512429
21-10-2019,921215529
22-10-2019,911941836
23-10-2019,914374505
24-10-2019,963071165
25-10-2019,993331438
26-10-2019,963198914
27-10-2019,936411528
28-10-2019,935190881
29-10-2019,934515459
30-10-2019,918473995
31-10-2019,958275491
01-11-2019,952007823
02-11-2019,948628146
03-11-2019,935129239
04-11-2019,940363180
05-11-2019,938931715
06-11-2019,959075304
07-11-2019,941759562
08-11-2019,950824378
09-11-2019,981382996
10-11-2019,973925991
11-11-2019,962614077
12-11-2019,986233985
13-11-2019,1056401597
14-11-2019,1072062494
15-11-2019,1062303298
16-11-2019,1053615962
17-11-2019,1026161955
18-11-2019,989313501
19-11-2019,964799660
20-11-2019,947893228
21-11-2019,892383619
22-11-2019,823152707
23-11-2019,856598472
24-11-2019,789526615
25-11-2019,796272797
26-11-2019,796749927
27-11-2019,780208040
28-11-2019,795173797
29-11-2019,819917110
30-11-2019,784726634
01-12-2019,758496044
02-12-2019,733241502
03-12-2019,745494808
04-12-2019,717028178
05-12-2019,709032623
06-12-2019,732354664
07-12-2019,721417209
08-12-2019,720652032
09-12-2019,731861045
10-12-2019,794729934
11-12-2019,762317077
12-12-2019,741674953
13-12-2019,727058616
14-12-2019,703740129
15-12-2019,730394059
16-12-2019,693554053
17-12-2019,614723071
18-12-2019,658252398
19-12-2019,637172404
20-12-2019,673201642
21-12-2019,655789073
22-12-2019,677398756
23-12-2019,656897477
24-12-2019,652092016
25-12-2019,631665436
26-12-2019,651630010
27-12-2019,660276978
28-12-2019,656018147
29-12-2019,665841559
30-12-2019,643640851
31-12-2019,619314954
01-01-2020,632324086
02-01-2020,609400278
03-01-2020,633397911
04-01-2020,644046686
05-01-2020,632725379
06-01-2020,678112936
07-01-2020,739934210
08-01-2020,764262022
09-01-2020,765117095
10-01-2020,778385770
11-01-2020,799136443
12-01-2020,785817532
13-01-2020,767358644
14-01-2020,836474276
15-01-2020,841742041
16-01-2020,869567505
17-01-2020,953438176
18-01-2020,970936771
19-01-2020,916632784
20-01-2020,944054524
21-01-2020,935742614
22-01-2020,925953608
23-01-2020,861738068
24-01-2020,876536363
25-01-2020,859784045
26-01-2020,900053582
27-01-2020,913378198
28-01-2020,929368527
29-01-2020,974863479
30-01-2020,1019545843
31-01-2020,988326980
01-02-2020,993633620
02-02-2020,991403500
03-02-2020,971130674
04-02-2020,959392205
05-02-2020,995970095
06-02-2020,1009638663
07-02-2020,1157986128
08-02-2020,1195060080
09-02-2020,1217059506
10-02-2020,1194019464
11-02-2020,1391445535
12-02-2020,1408791688
13-02-2020,1356052109
14-02-2020,1545030652
15-02-2020,1506631238
16-02-2020,1576459992
17-02-2020,1503953031
18-02-2020,1590328792
19-02-2020,1540464065
20-02-2020,1494979037
21-02-2020,1502220389
22-02-2020,1436028024
23-02-2020,1485218289
24-02-2020,1369785416
25-02-2020,1229586427
26-02-2020,1260253650
27-02-2020,1382008329
28-02-2020,1456668505
29-02-2020,1437989316
01-03-2020,1357836407
02-03-2020,1475252493
03-03-2020,1604271179
04-03-2020,1625704996
05-03-2020,1652439037
06-03-2020,1637474153
07-03-2020,1520607569
08-03-2020,1431384728
09-03-2020,1422370360
10-03-2020,1429726104
11-03-2020,1336130849
12-03-2020,722672644
13-03-2020,847397090
14-03-2020,750231169
15-03-2020,738223861
16-03-2020,622956956
17-03-2020,644981750
18-03-2020,660695085
19-03-2020,786333202
20-03-2020,786765060
21-03-2020,795065384
22-03-2020,696102884
23-03-2020,783227446
24-03-2020,807763832
25-03-2020,790886272
26-03-2020,803298187
27-03-2020,761239725
28-03-2020,747848872
29-03-2020,708808881
30-03-2020,753662033
31-03-2020,794620235
01-04-2020,797390894
02-04-2020,805598218
03-04-2020,806773419
04-04-2020,814174591
05-04-2020,797063757
06-04-2020,879695007
07-04-2020,951294862
08-04-2020,1098664301
09-04-2020,1162592770
10-04-2020,1125984900
11-04-2020,1148809627
12-04-2020,1211914055
13-04-2020,1179431615
14-04-2020,1132912028
15-04-2020,1095155423
16-04-2020,1214026692
17-04-2020,1216966013
18-04-2020,1324210521
19-04-2020,1273148903
20-04-2020,1210414587
21-04-2020,1216697578
22-04-2020,1287585113
23-04-2020,1303753636
24-04-2020,1331678326
25-04-2020,1331080897
26-04-2020,1300872243
27-04-2020,1274664482
28-04-2020,1286363619
29-04-2020,1367124006
30-04-2020,1302166857
01-05-2020,1324114575
02-05-2020,1337763940
03-05-2020,1302759278
04-05-2020,1318765143
05-05-2020,1290692525
06-05-2020,1272760212
07-05-2020,1313906217
08-05-2020,1337738020
09-05-2020,1414112226
10-05-2020,1316463851
11-05-2020,1254772804
12-05-2020,1292330729
13-05-2020,1316148495
14-05-2020,1329785466
15-05-2020,1286128594
16-05-2020,1316033130
17-05-2020,1324515312
18-05-2020,1359871089
19-05-2020,1372866757
20-05-2020,1424867262
21-05-2020,1346712935
22-05-2020,1424598820
23-05-2020,1384271247
24-05-2020,1342712782
25-05-2020,1354476676
26-05-2020,1342697098
27-05-2020,1350195985
28-05-2020,1408872696
29-05-2020,1395307992
30-05-2020,1458957296
31-05-2020,1445478259
01-06-2020,1533224811
02-06-2020,1535391839
03-06-2020,1571755300
04-06-2020,1551556871
05-06-2020,1532103068
06-06-2020,1519918210
07-06-2020,1522476591
08-06-2020,1560240660
09-06-2020,1557552084
10-06-2020,1547105469
11-06-2020,1389924052
12-06-2020,1431829668
13-06-2020,1440128454
14-06-2020,1384254618
15-06-2020,1376866033
16-06-2020,1417049911
17-06-2020,1457284290
18-06-2020,1459143130
19-06-2020,1427986674
20-06-2020,1459769388
21-06-2020,1466202331
22-06-2020,1563776985
23-06-2020,1682188036
24-06-2020,1651655918
25-06-2020,1684972181
26-06-2020,1638281862
27-06-2020,1549293057
28-06-2020,1597219156
29-06-2020,1616275366
30-06-2020,1599216096
01-07-2020,1644389580
02-07-2020,1696316156
03-07-2020,1660458365
04-07-2020,1681595211
05-07-2020,1659759415
06-07-2020,1877768637
07-07-2020,1999485843
08-07-2020,2266503703
09-07-2020,2136508737
10-07-2020,2148466257
11-07-2020,2141890413
12-07-2020,2558214204
13-07-2020,2513801898
14-07-2020,2836212758
15-07-2020,3025092976
16-07-2020,2918197199
17-07-2020,2898137543
18-07-2020,2785747920
19-07-2020,2822816495
20-07-2020,2545543980
21-07-2020,2548551887
22-07-2020,2613441300
23-07-2020,2756067002
24-07-2020,2601253469
25-07-2020,2680238239
26-07-2020,2624651695
27-07-2020,2483454084
28-07-2020,2528211158
29-07-2020,2490629028
30-07-2020,2595947041
31-07-2020,2720519335
01-08-2020,2906560598
02-08-2020,2895121578
03-08-2020,3207665484
04-08-2020,3437642666
05-08-2020,3345570941
06-08-2020,3549089112
07-08-2020,3522177678
08-08-2020,4441222522
09-08-2020,4848621841
10-08-2020,4704362412
11-08-2020,4587096666
12-08-2020,5817540005
13-08-2020,6064100838
14-08-2020,5924251352
15-08-2020,6684562685
16-08-2020,6581464920
17-08-2020,5846940697
18-08-2020,5684481093
19-08-2020,5683994454
20-08-2020,5631954095
21-08-2020,4830299525
22-08-2020,5586067185
23-08-2020,5311136484
24-08-2020,5314175857
25-08-2020,4975883859
26-08-2020,5338114257
27-08-2020,5074198792
28-08-2020,5304621210
29-08-2020,5798477339
30-08-2020,5765537479
31-08-2020,5497970696
01-09-2020,5642522358
02-09-2020,5214088927
03-09-2020,4205837225
04-09-2020,4372503210
05-09-2020,3714015162
06-09-2020,4519805324
07-09-2020,4349302010
08-09-2020,4124761105
09-09-2020,4332052448
10-09-2020,4392959562
11-09-2020,4375523796
12-09-2020,4469160914
13-09-2020,4197741154
14-09-2020,4241852740
15-09-2020,3842353946
16-09-2020,3766635594
17-09-2020,3846108077
18-09-2020,3528574725
19-09-2020,3551547041
20-09-2020,3418842857
21-09-2020,3065979266
22-09-2020,3067464620
23-09-2020,2695790565
24-09-2020,3436116830
25-09-2020,3748977402
26-09-2020,3619580604
27-09-2020,3769177911
28-09-2020,3616745328
29-09-2020,3540255427
30-09-2020,3447923597
