12/09/2013,2,1
13/09/2013,3,1
14/09/2013,3,1
15/09/2013,3,1
16/09/2013,2,1
17/09/2013,3,1
18/09/2013,2,1
19/09/2013,2,1
20/09/2013,2,1
21/09/2013,3,1
22/09/2013,2,1
23/09/2013,2,1
24/09/2013,2,1
25/09/2013,2,1
26/09/2013,2,1
27/09/2013,2,1
28/09/2013,3,1
29/09/2013,2,1
30/09/2013,2,1
01/10/2013,3,1
02/10/2013,3,1
03/10/2013,3,1
04/10/2013,2,1
05/10/2013,3,1
06/10/2013,2,1
07/10/2013,2,1
08/10/2013,2,1
09/10/2013,3,1
10/10/2013,2,1
11/10/2013,2,1
12/10/2013,2,1
13/10/2013,2,1
14/10/2013,2,1
15/10/2013,2,1
16/10/2013,2,1
17/10/2013,2,1
18/10/2013,2,1
19/10/2013,3,1
20/10/2013,3,1
21/10/2013,3,1
22/10/2013,3,1
23/10/2013,3,1
24/10/2013,3,1
25/10/2013,4,1
26/10/2013,3,1
27/10/2013,3,1
28/10/2013,3,1
29/10/2013,5,2
30/10/2013,6,2
31/10/2013,5,2
01/11/2013,6,2
02/11/2013,5,2
03/11/2013,7,2
04/11/2013,8,2
05/11/2013,7,2
06/11/2013,9,2
07/11/2013,12,3
08/11/2013,10,3
09/11/2013,9,2
10/11/2013,9,2
11/11/2013,9,2
12/11/2013,9,2
13/11/2013,10,3
14/11/2013,10,3
15/11/2013,10,3
16/11/2013,10,3
17/11/2013,12,3
18/11/2013,27,6
19/11/2013,36,8
20/11/2013,23,6
21/11/2013,29,7
22/11/2013,26,6
23/11/2013,29,7
24/11/2013,23,6
25/11/2013,29,7
26/11/2013,41,10
27/11/2013,71,16
28/11/2013,100,22
29/11/2013,79,18
30/11/2013,65,15
01/12/2013,54,12
02/12/2013,57,13
03/12/2013,60,14
04/12/2013,56,13
05/12/2013,58,13
06/12/2013,50,11
07/12/2013,46,11
08/12/2013,41,10
09/12/2013,45,10
10/12/2013,43,10
11/12/2013,44,10
12/12/2013,42,10
13/12/2013,35,8
14/12/2013,38,9
15/12/2013,40,9
16/12/2013,39,9
17/12/2013,35,8
18/12/2013,41,10
19/12/2013,34,8
20/12/2013,30,7
21/12/2013,25,6
22/12/2013,26,6
23/12/2013,23,6
24/12/2013,25,6
25/12/2013,24,6
26/12/2013,24,6
27/12/2013,24,6
28/12/2013,21,5
29/12/2013,21,5
30/12/2013,22,5
31/12/2013,20,5
01/01/2014,18,4
02/01/2014,19,5
03/01/2014,24,6
04/01/2014,21,5
05/01/2014,24,6
06/01/2014,26,6
07/01/2014,24,6
08/01/2014,21,5
09/01/2014,25,6
10/01/2014,21,5
11/01/2014,22,5
12/01/2014,23,6
13/01/2014,20,5
14/01/2014,23,6
15/01/2014,21,5
16/01/2014,19,5
17/01/2014,18,4
18/01/2014,19,5
19/01/2014,21,5
20/01/2014,18,4
21/01/2014,20,5
22/01/2014,21,5
23/01/2014,22,5
24/01/2014,23,6
25/01/2014,21,5
26/01/2014,22,5
27/01/2014,20,5
28/01/2014,21,5
29/01/2014,20,5
30/01/2014,17,4
31/01/2014,20,5
01/02/2014,17,4
02/02/2014,18,4
03/02/2014,16,4
04/02/2014,18,4
05/02/2014,16,4
06/02/2014,18,4
07/02/2014,18,4
08/02/2014,14,4
09/02/2014,16,4
10/02/2014,17,4
11/02/2014,17,4
12/02/2014,15,4
13/02/2014,14,4
14/02/2014,17,4
15/02/2014,16,4
16/02/2014,15,4
17/02/2014,16,4
18/02/2014,14,4
19/02/2014,12,3
20/02/2014,16,4
21/02/2014,15,4
22/02/2014,16,4
23/02/2014,12,3
24/02/2014,16,4
25/02/2014,15,4
26/02/2014,13,3
27/02/2014,14,4
28/02/2014,13,3
01/03/2014,12,3
02/03/2014,11,3
03/03/2014,11,3
04/03/2014,16,4
05/03/2014,14,4
06/03/2014,12,3
07/03/2014,14,4
08/03/2014,12,3
09/03/2014,12,3
10/03/2014,13,3
11/03/2014,12,3
12/03/2014,11,3
13/03/2014,11,3
14/03/2014,11,3
15/03/2014,10,3
16/03/2014,10,3
17/03/2014,11,3
18/03/2014,13,3
19/03/2014,13,3
20/03/2014,11,3
21/03/2014,10,3
22/03/2014,8,2
23/03/2014,9,2
24/03/2014,10,3
25/03/2014,8,2
26/03/2014,8,2
27/03/2014,9,2
28/03/2014,10,3
29/03/2014,9,2
30/03/2014,8,2
31/03/2014,7,2
01/04/2014,7,2
02/04/2014,6,2
03/04/2014,7,2
04/04/2014,5,2
05/04/2014,5,2
06/04/2014,7,2
07/04/2014,5,2
08/04/2014,5,2
09/04/2014,6,2
10/04/2014,7,2
11/04/2014,7,2
12/04/2014,6,2
13/04/2014,5,2
14/04/2014,6,2
15/04/2014,5,2
16/04/2014,6,2
17/04/2014,6,2
18/04/2014,6,2
19/04/2014,5,2
20/04/2014,6,2
21/04/2014,5,2
22/04/2014,5,2
23/04/2014,4,1
24/04/2014,5,2
25/04/2014,5,2
26/04/2014,5,2
27/04/2014,5,2
28/04/2014,5,2
29/04/2014,4,1
30/04/2014,3,1
01/05/2014,65,2
02/05/2014,75,2
03/05/2014,100,2
04/05/2014,80,2
05/05/2014,75,2
06/05/2014,71,2
07/05/2014,94,2
08/05/2014,58,2
09/05/2014,79,2
10/05/2014,70,2
11/05/2014,59,2
12/05/2014,51,2
13/05/2014,78,2
14/05/2014,51,2
15/05/2014,53,2
16/05/2014,65,2
17/05/2014,67,2
18/05/2014,66,2
19/05/2014,65,2
20/05/2014,73,2
21/05/2014,70,2
22/05/2014,97,2
23/05/2014,68,2
24/05/2014,81,2
25/05/2014,93,2
26/05/2014,82,2
27/05/2014,63,2
28/05/2014,63,2
29/05/2014,62,2
30/05/2014,79,2
31/05/2014,68,2
01/06/2014,81,2
02/06/2014,61,2
03/06/2014,91,2
04/06/2014,62,2
05/06/2014,59,2
06/06/2014,56,2
07/06/2014,44,1
08/06/2014,62,2
09/06/2014,53,2
10/06/2014,48,1
11/06/2014,67,2
12/06/2014,47,1
13/06/2014,52,2
14/06/2014,61,2
15/06/2014,66,2
16/06/2014,63,2
17/06/2014,73,2
18/06/2014,58,2
19/06/2014,60,2
20/06/2014,52,2
21/06/2014,53,2
22/06/2014,63,2
23/06/2014,58,2
24/06/2014,41,1
25/06/2014,48,1
26/06/2014,44,1
27/06/2014,33,1
28/06/2014,64,2
29/06/2014,59,2
30/06/2014,52,2
01/07/2014,65,2
02/07/2014,85,2
03/07/2014,65,2
04/07/2014,70,2
05/07/2014,60,2
06/07/2014,74,2
07/07/2014,55,2
08/07/2014,49,1
09/07/2014,33,1
10/07/2014,55,2
11/07/2014,47,1
12/07/2014,57,2
13/07/2014,46,1
14/07/2014,43,1
15/07/2014,53,2
16/07/2014,53,2
17/07/2014,41,1
18/07/2014,47,1
19/07/2014,37,1
20/07/2014,30,1
21/07/2014,60,2
22/07/2014,40,1
23/07/2014,45,1
24/07/2014,47,1
25/07/2014,48,1
26/07/2014,36,1
27/07/2014,46,1
28/07/2014,59,2
29/07/2014,47,1
30/07/2014,44,1
31/07/2014,41,1
01/08/2014,40,1
02/08/2014,38,1
03/08/2014,39,1
04/08/2014,51,2
05/08/2014,39,1
06/08/2014,49,1
07/08/2014,50,1
08/08/2014,51,2
09/08/2014,46,1
10/08/2014,50,1
11/08/2014,57,2
12/08/2014,79,2
13/08/2014,57,2
14/08/2014,53,2
15/08/2014,37,1
16/08/2014,52,2
17/08/2014,55,2
18/08/2014,79,2
19/08/2014,66,2
20/08/2014,59,2
21/08/2014,50,1
22/08/2014,55,2
23/08/2014,36,1
24/08/2014,57,2
25/08/2014,56,2
26/08/2014,39,1
27/08/2014,37,1
28/08/2014,38,1
29/08/2014,34,1
30/08/2014,41,1
31/08/2014,40,1
01/09/2014,39,1
02/09/2014,22,1
03/09/2014,41,1
04/09/2014,58,2
05/09/2014,36,1
06/09/2014,28,1
07/09/2014,57,2
08/09/2014,41,1
09/09/2014,25,1
10/09/2014,38,1
11/09/2014,42,1
12/09/2014,34,1
13/09/2014,44,1
14/09/2014,42,1
15/09/2014,37,1
16/09/2014,31,1
17/09/2014,50,1
18/09/2014,46,1
19/09/2014,40,1
20/09/2014,44,1
21/09/2014,46,1
22/09/2014,36,1
23/09/2014,38,1
24/09/2014,35,1
25/09/2014,29,1
26/09/2014,26,1
27/09/2014,28,1
28/09/2014,43,1
29/09/2014,43,1
30/09/2014,25,1
01/10/2014,31,1
