Category: All categories

Day,litecoin: (Worldwide)
2014-05-01,65
2014-05-02,75
2014-05-03,100
2014-05-04,80
2014-05-05,75
2014-05-06,71
2014-05-07,94
2014-05-08,58
2014-05-09,79
2014-05-10,70
2014-05-11,59
2014-05-12,51
2014-05-13,78
2014-05-14,51
2014-05-15,53
2014-05-16,65
2014-05-17,67
2014-05-18,66
2014-05-19,65
2014-05-20,73
2014-05-21,70
2014-05-22,97
2014-05-23,68
2014-05-24,81
2014-05-25,93
2014-05-26,82
2014-05-27,63
2014-05-28,63
2014-05-29,62
2014-05-30,79
2014-05-31,68
2014-06-01,81
2014-06-02,61
2014-06-03,91
2014-06-04,62
2014-06-05,59
2014-06-06,56
2014-06-07,44
2014-06-08,62
2014-06-09,53
2014-06-10,48
2014-06-11,67
2014-06-12,47
2014-06-13,52
2014-06-14,61
2014-06-15,66
2014-06-16,63
2014-06-17,73
2014-06-18,58
2014-06-19,60
2014-06-20,52
2014-06-21,53
2014-06-22,63
2014-06-23,58
2014-06-24,41
2014-06-25,48
2014-06-26,44
2014-06-27,33
2014-06-28,64
2014-06-29,59
2014-06-30,52
2014-07-01,65
2014-07-02,85
2014-07-03,65
2014-07-04,70
2014-07-05,60
2014-07-06,74
2014-07-07,55
2014-07-08,49
2014-07-09,33
2014-07-10,55
2014-07-11,47
2014-07-12,57
2014-07-13,46
2014-07-14,43
2014-07-15,53
2014-07-16,53
2014-07-17,41
2014-07-18,47
2014-07-19,37
2014-07-20,30
2014-07-21,60
2014-07-22,40
2014-07-23,45
2014-07-24,47
2014-07-25,48
2014-07-26,36
2014-07-27,46
2014-07-28,59
2014-07-29,47
2014-07-30,44
2014-07-31,41
2014-08-01,40
2014-08-02,38
2014-08-03,39
2014-08-04,51
2014-08-05,39
2014-08-06,49
2014-08-07,50
2014-08-08,51
2014-08-09,46
2014-08-10,50
2014-08-11,57
2014-08-12,79
2014-08-13,57
2014-08-14,53
2014-08-15,37
2014-08-16,52
2014-08-17,55
2014-08-18,79
2014-08-19,66
2014-08-20,59
2014-08-21,50
2014-08-22,55
2014-08-23,36
2014-08-24,57
2014-08-25,56
2014-08-26,39
2014-08-27,37
2014-08-28,38
2014-08-29,34
2014-08-30,41
2014-08-31,40
2014-09-01,39
2014-09-02,22
2014-09-03,41
2014-09-04,58
2014-09-05,36
2014-09-06,28
2014-09-07,57
2014-09-08,41
2014-09-09,25
2014-09-10,38
2014-09-11,42
2014-09-12,34
2014-09-13,44
2014-09-14,42
2014-09-15,37
2014-09-16,31
2014-09-17,50
2014-09-18,46
2014-09-19,40
2014-09-20,44
2014-09-21,46
2014-09-22,36
2014-09-23,38
2014-09-24,35
2014-09-25,29
2014-09-26,26
2014-09-27,28
2014-09-28,43
2014-09-29,43
2014-09-30,25
2014-10-01,31
2014-10-02,43
2014-10-03,25
2014-10-04,30
2014-10-05,43
2014-10-06,39
2014-10-07,45
2014-10-08,34
2014-10-09,42
2014-10-10,28
2014-10-11,32
2014-10-12,38
2014-10-13,28
2014-10-14,36
2014-10-15,28
2014-10-16,38
2014-10-17,29
2014-10-18,27
2014-10-19,40
2014-10-20,41
2014-10-21,39
2014-10-22,35
2014-10-23,27
2014-10-24,38
2014-10-25,26
2014-10-26,33
2014-10-27,30
2014-10-28,31
2014-10-29,32
2014-10-30,19
2014-10-31,27
2014-11-01,32
2014-11-02,22
2014-11-03,28
2014-11-04,34
2014-11-05,21
2014-11-06,38
2014-11-07,47
2014-11-08,28
2014-11-09,29
2014-11-10,33
2014-11-11,25
2014-11-12,25
2014-11-13,39
2014-11-14,43
2014-11-15,39
2014-11-16,38
2014-11-17,30
2014-11-18,29
2014-11-19,36
2014-11-20,37
2014-11-21,31
2014-11-22,34
2014-11-23,24
2014-11-24,32
2014-11-25,15
2014-11-26,30
2014-11-27,39
2014-11-28,29
2014-11-29,32
2014-11-30,24
2014-12-01,44
2014-12-02,23
2014-12-03,37
2014-12-04,39
2014-12-05,28
2014-12-06,32
2014-12-07,32
2014-12-08,35
2014-12-09,28
2014-12-10,36
2014-12-11,41
2014-12-12,29
2014-12-13,19
2014-12-14,21
2014-12-15,34
2014-12-16,34
2014-12-17,31
2014-12-18,29
2014-12-19,24
2014-12-20,24
2014-12-21,32
2014-12-22,25
2014-12-23,31
2014-12-24,35
2014-12-25,33
2014-12-26,18
2014-12-27,31
2014-12-28,25
2014-12-29,26
2014-12-30,14
2014-12-31,31
2015-01-01,28
